,Name,Rating,Reviews,Salaries,Interviews,Jobs,Benefits
0,TCS,3.4,1.1L,9.6L,11.7k,3k,10.6k
1,Accenture,3.7,70.4k,6.4L,9k,31.9k,6.7k
2,Wipro,3.6,62.5k,4.7L,6.5k,6.9k,4.6k
3,Cognizant,3.6,59.5k,5.9L,6.2k,848,5.5k
4,Capgemini,3.7,51.1k,4.7L,5.4k,2.1k,3.6k
5,HDFC Bank,3.8,49.9k,1.5L,2.8k,213,3.2k
6,Infosys,3.5,46.8k,5.2L,8.2k,3k,4.8k
7,ICICI Bank,4.0,44.9k,1.5L,2.8k,32,3.7k
8,HCLTech,3.4,44k,3.7L,4.4k,285,3.8k
9,Tech Mahindra,3.4,42k,2.8L,4.4k,434,3.4k
10,Genpact,3.6,40.4k,2.3L,3.7k,335,3.5k
11,Teleperformance,3.8,36.2k,95.1k,2.1k,1k,1.8k
12,Axis Bank,3.6,32k,1L,1.8k,242,2.1k
13,Jio,4.3,31.5k,62.5k,3.4k,3,2.5k
14,Concentrix Corporation,3.6,31.2k,1.3L,1.9k,81,3.1k
15,Amazon,3.9,30.4k,1.4L,5.7k,1.5k,4.1k
16,iEnergizer,4.6,27.3k,23.9k,967,72,430
17,Reliance Retail,3.9,26.8k,74.2k,1.9k,29,1.9k
18,IBM,3.9,25.2k,2.1L,2.6k,2.5k,2.6k
19,LTIMindtree,3.6,25k,1.9L,3.2k,497,775
